id,model,dataset,included,m,n_clusters,entropy,norm_entropy,is_zero,pred,correct,em,f1,confidence,is_unanswerable,qtype
56bc751eac7ad10019000013,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
56c1f01def6e394741000045,Mistral-7B-Instruct-v0.1,bioasq,False,1,,,,,,,,,,False,factoid
56af9f130a360a5e45000015,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
52bf1b0a03868f1b06000009,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
52bf19c503868f1b06000001,Mistral-7B-Instruct-v0.1,bioasq,True,3,4.0,1.9999999999999942,0.9999999999999971,False,X-linked recessive,False,0.0,0.0,-0.24658611281188314,False,factoid
5505edac8e1671127b000005,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
56e2cec751531f7e33000015,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
5518e7da622b194345000004,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
530a5117970c65fa6b000007,Mistral-7B-Instruct-v0.1,bioasq,True,3,4.0,1.9999999999999942,0.9999999999999971,False,"TAILS stands for ""Tandem Affinity Purification of Interacting Proteins in Lysates"".",False,0.0,0.0,-0.4509140922695951,False,factoid
552fac4fbc4f83e828000006,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
54cf7051f693c3b16b000013,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
54e0d1491388e8454a000014,Mistral-7B-Instruct-v0.1,bioasq,True,3,4.0,1.9999999999999942,0.9999999999999971,False,Evolocumab targets the enzyme PCSK9.,False,0.0,0.0,-0.0809073234002522,False,factoid
51404dd723fec90375000002,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
56d0451c3975bb303a00000e,Mistral-7B-Instruct-v0.1,bioasq,False,1,,,,,,,,,,False,factoid
54ede8c594afd61504000009,Mistral-7B-Instruct-v0.1,bioasq,True,3,3.0,1.4999999999999956,0.7499999999999978,False,G1 phase.,False,0.0,0.0,-0.6023725692648441,False,factoid
551c23bc6b348bb82c00000b,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
56c1f02cef6e39474100004c,Mistral-7B-Instruct-v0.1,bioasq,False,1,,,,,,,,,,False,factoid
550af222c2af5d5b7000000b,Mistral-7B-Instruct-v0.1,bioasq,True,3,4.0,1.9999999999999942,0.9999999999999971,False,The E3 ubiquitin ligase that ubiquitinates IkB leading to its proteasomal degradation is NEMO (NF,False,0.0,0.0,-0.10382533969568897,False,factoid
56c1f03bef6e394741000053,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
532498959b2d7acc7e000017,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
56d06e043975bb303a000011,Mistral-7B-Instruct-v0.1,bioasq,False,1,,,,,,,,,,False,factoid
5509f433c2af5d5b70000008,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
531a34d5b166e2b806000036,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
56cdf40d5795f9a73e00003d,Mistral-7B-Instruct-v0.1,bioasq,False,1,,,,,,,,,,False,factoid
553653a5bc4f83e828000007,Mistral-7B-Instruct-v0.1,bioasq,True,3,2.0,0.8112781244591301,0.40563906222956503,False,The technique used for detection of EWS/FLI1 fusion transcripts is reverse transcription-polymerase chain reaction (RT-PCR).,False,0.0,0.0,-0.11014812173388755,False,factoid
56c868a95795f9a73e000017,Mistral-7B-Instruct-v0.1,bioasq,True,3,3.0,1.4999999999999956,0.7499999999999978,False,The BiFC assay is used to detect protein-protein interactions in Drosophila embryos.,False,0.0,0.0,-0.13564849081139604,False,factoid
516e5f41298dcd4e5100007f,Mistral-7B-Instruct-v0.1,bioasq,False,1,,,,,,,,,,False,factoid
56ed27012ac5ed145900000b,Mistral-7B-Instruct-v0.1,bioasq,False,1,,,,,,,,,,False,factoid
52f223e02059c6d71c00000e,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
5343caffaeec6fbd07000002,Mistral-7B-Instruct-v0.1,bioasq,True,3,2.0,0.8112781244591301,0.40563906222956503,False,Selenoprotein P.,True,1.0,1.0,-0.32179868577941306,False,factoid
56a39d60496b62f23f000006,Mistral-7B-Instruct-v0.1,bioasq,True,3,3.0,1.4999999999999956,0.7499999999999978,False,"The package available for analyzing genomic interactions in R/Bioconductor is ""interaction"".",False,0.0,0.0,-0.235029695353393,False,factoid
5150b807d24251bc05000072,Mistral-7B-Instruct-v0.1,bioasq,False,1,,,,,,,,,,False,factoid
56c1d857ef6e394741000033,Mistral-7B-Instruct-v0.1,bioasq,True,3,2.0,0.8112781244591301,0.40563906222956503,False,Opicapone inhibits the enzyme CYP2C9.,False,0.0,0.0,-0.1642408150717141,False,factoid
52fe58f82059c6d71c00007a,Mistral-7B-Instruct-v0.1,bioasq,False,2,,,,,,,,,,False,factoid
