id,model,dataset,included,m,n_clusters,entropy,norm_entropy,is_zero,pred,correct,em,f1,confidence,is_unanswerable,qtype
56dddf4066d3e219004dad5f,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
56dddf4066d3e219004dad61,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
5ad3a266604f3c001a3fea2b,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,True,squad2
5ad3ab70604f3c001a3feb89,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
5ad3ab70604f3c001a3feb8a,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,True,squad2
56dde0ba66d3e219004dad75,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,False,squad2
5ad3ae14604f3c001a3fec39,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
56dde27d9a695914005b9651,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
56dde2fa66d3e219004dad9b,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,False,squad2
5ad3dbc6604f3c001a3ff3ec,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
56de0ffd4396321400ee258e,Meta-Llama-3-8B-Instruct,squad2,True,3,2.0,0.8112781244591301,0.405639062229565,False,In the 1060s.,True,1.0,1.0,-0.0597275190506279,False,squad2
5ad3de8b604f3c001a3ff469,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,True,squad2
5ad3ed26604f3c001a3ff79b,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
56de15dbcffd8e1900b4b5ca,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,False,squad2
5ad3f187604f3c001a3ff871,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
5ad3f6f5604f3c001a3ffa0a,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,True,squad2
56de3e414396321400ee26d9,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,False,squad2
5ad40358604f3c001a3ffd7d,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
5ad532575b96ef001a10ab7c,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,True,squad2
5ad5364c5b96ef001a10ab91,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
56e17e6ee3433e1400422f81,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
5ad537a15b96ef001a10ab9c,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
56e181d9e3433e1400422fa0,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
56e19724cd28a01900c679fa,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
5ad53e615b96ef001a10abda,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,True,squad2
5ad541ad5b96ef001a10abee,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,True,squad2
56e1a564cd28a01900c67a4b,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
56e1aba0e3433e1400423094,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,False,squad2
5ad547945b96ef001a10ac18,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,True,squad2
5ad5489b5b96ef001a10ac2c,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
56e1b62ecd28a01900c67aa3,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,False,squad2
56e1b754cd28a01900c67abd,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
5ad54b035b96ef001a10ac53,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
5ad54b035b96ef001a10ac54,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,True,squad2
5ad54c2f5b96ef001a10ac5c,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
5ad54c2f5b96ef001a10ac5f,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,True,squad2
5ad54d625b96ef001a10ac66,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,True,squad2
56e1c0f6cd28a01900c67b2c,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
5ad55ee35b96ef001a10ace4,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
56e1c4fce3433e1400423151,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,False,squad2
5ad560b85b96ef001a10ad20,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
5ad560b85b96ef001a10ad21,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,True,squad2
56e1c720e3433e140042316a,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
56e1c9bfe3433e1400423196,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
56e1dc62cd28a01900c67bcd,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,False,squad2
5ad568d35b96ef001a10ae1d,Meta-Llama-3-8B-Instruct,squad2,True,3,3.0,1.4999999999999956,0.7499999999999978,False,Three.,False,0.0,0.0,-0.5272277537733316,True,squad2
56e1e9dfe3433e14004231fc,Meta-Llama-3-8B-Instruct,squad2,True,3,3.0,1.4999999999999956,0.7499999999999978,False,The graph isomorphism problem.,True,1.0,1.0,-0.0127403708750222,False,squad2
56e1e9dfe3433e14004231ff,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,False,squad2
5ad569c05b96ef001a10ae3a,Meta-Llama-3-8B-Instruct,squad2,False,0,,,,,,,,,,True,squad2
5ad56bcd5b96ef001a10ae62,Meta-Llama-3-8B-Instruct,squad2,False,2,,,,,,,,,,True,squad2
56e1f10ee3433e1400423222,Meta-Llama-3-8B-Instruct,squad2,True,3,1.0,-1.6017132519074577e-15,-8.00856625953729e-16,True,L,True,1.0,1.0,-0.0018218818877357,False,squad2
56e1fc57e3433e140042322c,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,False,squad2
56e1febfe3433e1400423237,Meta-Llama-3-8B-Instruct,squad2,False,1,,,,,,,,,,False,squad2
